"03-01-2014 16h15";57;0;20;0;0;0;
"03-01-2014 16h30";55;0;19;0;0;0;
"03-01-2014 16h45";57;0;18;0;0;0;
"03-01-2014 17h00";56;0;18;0;0;0;
"03-01-2014 17h15";63;0;21;0;0;0;
"03-01-2014 17h30";68;0;23;0;0;0;
"03-01-2014 17h45";64;0;23;0;0;0;
"03-01-2014 18h00";63;0;23;0;0;0;
"03-01-2014 18h15";65;0;23;0;0;0;
"03-01-2014 18h30";61;0;24;0;0;0;
"03-01-2014 18h45";72;0;25;0;0;0;
"03-01-2014 19h00";68;0;21;0;0;0;
"03-01-2014 19h15";69;0;22;0;0;0;
"03-01-2014 19h30";65;0;22;0;0;0;
"03-01-2014 19h45";86;0;24;0;0;0;
"03-01-2014 20h00";93;0;22;0;0;0;
"03-01-2014 20h15";88;0;23;0;0;0;
"03-01-2014 20h30";90;0;23;0;0;0;
"03-01-2014 20h45";79;0;24;0;0;0;
"03-01-2014 21h00";87;0;24;0;0;0;
"03-01-2014 21h15";72;0;24;0;0;0;
"03-01-2014 21h30";71;0;22;0;0;0;
"03-01-2014 21h45";65;0;21;0;0;0;
"03-01-2014 22h00";67;0;22;0;0;0;
"03-01-2014 22h15";72;0;24;0;0;0;
"03-01-2014 22h30";64;0;22;0;0;0;
"03-01-2014 22h45";67;0;24;0;0;0;
"03-01-2014 23h00";61;0;21;0;0;0;
"03-01-2014 23h15";64;0;23;0;0;0;
"03-01-2014 23h30";72;0;25;0;0;0;
"03-01-2014 23h45";74;0;23;0;0;0;
"03-01-2014 00h00";70;0;22;0;0;0;
"04-01-2014 00h15";65;0;22;0;0;0;
"04-01-2014 00h30";66;0;20;0;0;0;
"04-01-2014 00h45";65;0;22;0;0;0;
"04-01-2014 01h00";62;0;21;0;0;0;
"04-01-2014 01h15";54;0;20;0;0;0;
"04-01-2014 01h30";50;0;19;0;0;0;
"04-01-2014 01h45";51;0;21;0;0;0;
"04-01-2014 02h00";54;0;19;0;0;0;
"04-01-2014 02h15";55;0;17;0;0;0;
"04-01-2014 02h30";47;0;13;0;0;0;
"04-01-2014 02h45";45;0;14;0;0;0;
